;Aantal dagen per jaar een grondwaterpeil beneden 5 percentielwaarde ;;;
jaar;indicator_trend (model);ondergrens interval;bovengrens_interval;indicator_trend (gemeten)
1985; 10,246915; 1,4531958; 41,00747;  3,2833333
1986; 19,421371;12,4258705; 31,13708; 14,7948276
1987;  7,157954;-0,1483664; 60,50287;  0,4560345
1988;  8,039563;-1,3903548; 70,33977;  0,8077586
1989; 76,279160;50,0185542;120,48343; 69,4551724
1990; 69,602298;51,0120973; 98,02365; 72,5741379
1991; 35,818026;24,9568682; 53,65021; 35,1387931
1992; 12,291633; 6,5821641; 24,33150;  7,2568966
1993; 23,628502;15,0514371; 38,64681; 22,7646552
1994; 29,138172;19,6117817; 48,70983; 19,7594828
1995; 45,667312;34,2394427; 62,79782; 40,2715517
1996; 60,127478;44,6116465; 83,16912; 63,4396552
1997; 33,322977;24,8228992; 45,93755; 35,8465517
1998; 13,869277; 9,0761522; 21,69349; 12,2060345
1999; 22,060561;12,8273191; 37,43076; 17,4301724
2000;  8,108207; 4,0020136; 18,74665;  2,9982759
2001; 17,274616;11,5421802; 27,26407; 10,9379310
2002;  7,351154; 1,1511114; 27,80670;  1,6560345
2003; 65,331696;49,0722336; 88,34579; 67,6379310
2004; 25,405785;18,1070598; 37,62205; 26,9681034
2005; 52,524064;41,1886080; 69,23847; 56,8181034
2006; 42,715144;31,6332715; 59,02628; 43,0120690
2007; 15,937543; 7,2804599; 35,74266; 10,2344828
2008; 16,073160; 9,2290617; 30,50184;  9,1827586
2009; 67,267004;51,7883946; 89,90430; 71,2267241
2010; 53,520766;43,6780646; 67,12860; 51,0646552
2011; 45,305159;35,5961534; 59,13946; 47,7818966
2012; 21,796494;14,4069259; 36,10794; 17,0784483
2013; 37,113061;25,9421881; 55,40693; 33,4482759
2014; 19,045846;13,5880779; 28,45287; 14,0120690
2015; 53,548123;42,7934962; 70,00148; 53,6206897
2016; 15,706913; 7,8054980; 35,36400;  7,1939655
2017; 59,541315;40,1682553; 88,35733; 60,9500000
2018;116,723594;93,9683237;149,10349;112,0620690
