unieknr	loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	groupnr	rasterid	filterdepth	soilsurf_ost	typegroup_name	selectie	gew_aantal_meetptn	geselecteerd	reserve	obswell_statecode	obswell_state	measuringref_ost	tubelength	filterlength
185	WAHP712	WAH	Waaslandhaven	144656	214876	2	1	1	2	2	41	1.59	1.712	12	-1	1	1	0	3	1	2.452	2.58	0.5
90	MOMP028	MOM	Mombeekvallei	222496	174765	2	1	1	2	3	50	2.94	39.194	13	-1	1	1	0	3	1	39.584	3.53	0.4
97	MSBP007	MSB	Molenstedebroek	194938	187299	2	1	1	2	2	54	1.664	18.587	12	-1	1	1	0	3	1	19.073	2.4	0.5
160	VDBP513	VDB	Vallei van de Drie Beken	202202	191476	2	1	1	2	3	54	1.7	31.7	13	1	1	1	0	4	2	31.95	2.1	0.3
102	NEIP001	NEI	Neigembos	128122	167393	2	1	1	2	4	57	1.23	0	14	-1	1	1	0	3	1	0.31	1.79	0.5
9	BOEP003	BOE	Boembeke	107334	170403	2	1	1	2	4	89	2.8	0	14	-1	1	1	0	4	2	0.6	3.4	0
21	DUNP012	DUN	Dunbergbroek	178707	179625	2	1	1	2	4	134	1.53	18.29	14	1	1	1	0	3	1	19.08	2.32	0
51	ITTP212	ITT	Itterbeekvallei	242307	202672	2	1	1	2	1	146	1.99	34.995	11	1	1	1	0	3	1	35.225	2.37	0.3
116	ROTP003	ROT	Rotbroek	200403	185618	2	1	1	2	2	166	1.29	19.306	12	1	1	1	0	3	1	19.546	1.68	0.3
176	VLBP001	VLB	Vlassenbroekse polder	134476	192715	2	1	1	2	3	169	1.35	1.66	13	1	1	1	0	3	1	2.69	2.68	0.6
209	WESP008	WES	Westhoek	22617	198715	2	1	1	2	4	177	1.2	5.85	14	1	2	1	0	3	1	6.25	1.85	0.5
213	WESP093	WES	Westhoek	22509	198809	2	1	1	2	4	177	1.84	5.58	14	1	2	1	0	3	1	5.66	2.17	0.5
44	HALP001	HAL	Hallerbos	143431	155389	2	1	1	2	4	185	1.87	74.762	14	-1	2	1	0	4	2	74.902	2.16	0.3
46	HALP005	HAL	Hallerbos	144281	156162	2	1	1	2	4	185	1.81	68.573	14	-1	2	1	0	3	1	68.673	2.06	0.3
126	SILP004	SIL	Silsombos	164843	178240	2	1	1	2	4	198	1.36	20.684	14	1	2	1	0	3	1	21.084	1.91	0.3
143	TORP018	TOR	Torfbroek	162023	179712	2	1	1	2	4	198	0.27	16.313	14	1	2	1	0	3	1	16.963	1.07	0.3
241	ZWAP231	ZWA	Zwarte Beek	220110	198031	2	1	1	2	3	210	1.91	66.285	13	1	1	1	0	3	1	66.695	2.47	0.3
70	LOHP015	LOH	Lovenhoek	175526	211989	2	1	1	2	4	214	0.69	10.712	14	1	1	1	0	3	1	11.572	2.55	2
81	MOEP030	MOE	Moenebroeken	116473	166514	2	1	1	2	3	217	1.35	22.61	13	1	1	1	0	4	2	22.71	1.6	0.3
114	RASP002	RAS	Raspaillebos	120111	162861	2	1	1	2	4	217	0.81	56.155	14	-1	1	1	0	3	1	56.755	1.66	0.5
86	MOMP003	MOM	Mombeekvallei	217918	175452	2	1	1	2	3	230	1.65	33.79	13	1	1	1	0	5	4	33.79	1.8	0.3
24	DYLP029	DYL	Dijlevallei	169238	167404	2	1	1	2	2	262	1.29	27	12	1	1	1	0	3	1	27.42	1.86	0.3
59	LAVP080	LAV	Laanvallei	169100	164579	2	1	1	2	3	262	1.86	29.223	13	1	1	1	0	3	1	29.663	2.3	0
50	IJSP023	IJS	Ijsevallei	166813	166073	2	1	1	2	4	262	1.28	35.804	14	1	1	1	0	3	1	36.094	1.72	0.3
42	HAGP019	HAG	Hageven	224064	217725	2	1	1	2	2	274	1.811	34.401	12	1	1	1	0	4	2	34.611	2.271	0.5
43	HAGP023	HAG	Hageven	222955	217220	2	1	1	2	3	274	1.87	35.77	13	1	1	1	0	4	2	36.08	2.33	0.3
54	KBRP056	KBR	Polders van Kruibeke	145855	202674	2	1	1	2	2	297	1.53	1.574	12	1	1	1	0	4	2	2.394	2.6	0.5
75	MATP010	MAT	De Maten	225128	182769	2	1	1	2	1	306	1.97	46.29	11	1	1	1	0	3	1	46.64	2.57	0.5
76	MATP011	MAT	De Maten	225382	182289	2	1	1	2	3	306	1.04	44.92	13	1	1	1	0	3	1	45.34	1.71	0.5
170	VIEP117	VIE	Vierkensbroek-Demervallei	192297	188970	2	1	1	2	2	310	0.55	16.78	12	-1	1	1	0	4	2	16.91	0.83	0.3
62	LDOP041	LDO	Langdonken	186424	191178	2	1	1	2	3	310	2.47	14.544	13	1	1	1	0	2	5	14.604	2.68	0.3
60	LDOP019	LDO	Langdonken	184754	191421	2	1	1	2	1	342	1.5	14.16	11	1	1	1	0	3	1	14.49	1.98	0.3
134	SNOP129	SNO	Snoekengracht	183331	169489	2	1	1	2	4	390	2.85	56.33	14	1	1	1	0	3	1	56.61	3.28	0.3
161	VDBP514	VDB	Vallei van de Drie Beken	202304	191370	2	1	1	2	2	438	1.62	21.53	12	1	1	1	0	3	1	21.76	2	0.3
159	VDBP506	VDB	Vallei van de Drie Beken	202732	191923	2	1	1	2	3	438	1.46	21.73	13	1	1	1	0	4	2	22.02	1.9	0.3
234	ZUVP019	ZUV	Zuunvallei	142606	164589	2	1	1	2	4	441	2	23.92	14	-1	1	1	0	5	4	24.47	3.05	1
83	MOLP023	MOL	Molenbeekvallei	166621	176753	2	1	1	2	4	454	1.51	26.979	14	1	1	1	0	3	1	27.339	2.02	0.3
38	GSCP017	GSC	Groot Schietveld	167657	229201	2	1	1	2	3	478	1.66	18.51	13	1	1	1	0	4	2	19.01	2.41	0.5
4	ARHP009	ARH	Aronst Hoek	203834	177051	1	2	1	2	2	486	1.95	24.01	12	-1	1	1	0	6	3	24.31	2.4	0.3
194	WELP035	WEL	Wellemeersen	129144	176660	2	1	1	2	3	505	1.51	9.06	13	-1	1	1	0	7	7	9.36	1.96	0.3
25	DYLP037	DYL	Dijlevallei	169802	167510	2	1	1	2	4	582	0.97	27.99	14	1	1	1	0	3	1	28.42	1.55	0.3
3	ALMP003	ALM	Aalmoezenijbos / Aelmoeseneiebos / Gontrodebos	110287	185136	2	1	1	2	4	601	0.7	17.63	14	1	1	1	0	4	2	18.33	1.55	0.3
91	MOSP015	MOS	De Most	212551	207735	1	2	1	2	1	630	1.26	39.662	11	1	1	1	0	3	1	40.102	1.95	0.5
245	ZWAP303	ZWA	Zwarte Beek	213435	204022	2	1	1	2	3	630	0.8	45.684	13	1	1	1	0	3	1	46.214	1.58	0.5
229	ZEBP009	ZEB	Zeebrugge	69111	219114	2	1	1	2	2	693	1.92	3.02	12	1	1	1	0	3	1	3.6	3	1
156	UKPP029	UKP	Uitkerkse Polder	64241	219799	2	1	1	2	3	693	2	2.1	13	1	1	1	0	4	2	2.2	2.6	1
141	TLAP003	TLA	Terlaemen & Weijerman	214025	187912	2	1	1	2	1	694	1.31	32.583	11	-1	1	1	0	4	2	33.033	1.91	0.3
47	HBTP007	HBT	Helderbeekvallei Terril	212986	193133	2	1	1	2	3	694	1.75	33.026	13	1	1	1	0	3	1	33.586	2.46	0.3
18	DORP024	DOR	Dorent	154823	182431	2	1	1	2	4	710	2.56	9.8	14	1	1	1	0	1	6	10.17	3.08	0.3
72	MANP029	MAN	Mangelbeekvallei	220497	193374	2	1	1	2	1	722	1.06	55.418	11	1	1	1	0	3	1	55.868	1.76	0.5
137	TEUP045	TEU	De Teut	225036	188792	2	1	1	2	3	722	0.89	62.007	13	1	1	1	0	3	1	62.697	1.73	0.3
53	KALP136	KAL	Kalmthoutse heide	154423	234049	2	1	1	2	3	734	1.01	17.174	13	1	1	1	0	3	1	18.514	2.53	0.36
106	ORCP011	ORC	De Orchis	139864	196932	2	1	1	2	3	745	1.14	4.793	13	1	2	1	0	4	2	5.903	2.4	0.3
107	ORCP012	ORC	De Orchis	139863	196973	2	1	1	2	3	745	0.95	4.89	13	1	2	1	0	4	2	4.9	1.11	0.3
16	DORP002	DOR	Dorent	154427	193391	2	1	1	2	3	790	1.15	3.8	13	1	1	1	0	4	2	4.94	2.44	0.3
153	TYDP204	TYD	Ter Yde	33222	203448	2	1	1	2	4	817	1.79	5.51	14	1	1	1	0	3	1	5.6	2.13	0.5
203	WERP012	WER	De Werft	192332	194448	2	1	1	2	1	822	2.21	0	11	1	1	1	0	3	1	0.11	2.32	0
226	ZABP014	ZAB	Zammelsbroek	191421	198803	2	1	1	2	3	822	1.3	14.82	13	1	1	1	0	3	1	16.04	2.72	0.4
123	SCPP051	SCP	Scheps	206919	205056	2	1	1	2	2	886	1.99	30.547	12	1	1	1	0	3	1	31.147	2.59	0
121	SCPP042	SCP	Scheps	205315	204593	2	1	1	2	3	886	1.41	29.23	13	1	1	1	0	3	1	29.69	1.87	0
182	VRIP013	VRI	Vrieselhof	166733	212477	2	1	1	2	1	918	1.61	7.83	11	1	1	1	0	4	2	8.16	2.09	0.3
12	BRAP009	BRA	Bos van Ranst	165408	210432	2	1	1	2	4	918	0.61	9.24	14	-1	1	1	0	5	4	9.93	1.9	1.2
186	WALP118	WAL	Walenbos	186105	180248	2	1	1	2	4	934	1.61	25.422	14	1	1	1	0	4	2	25.702	2.04	0.3
236	ZWAP141	ZWA	Zwarte Beek	216785	198435	2	1	1	2	1	950	1.96	52.52	11	1	1	1	0	3	1	52.86	2.45	0.3
240	ZWAP228	ZWA	Zwarte Beek	217381	197149	2	1	1	2	3	950	1.14	63.265	13	1	1	1	0	3	1	63.655	1.68	0.3
110	PARP003	PAR	Parike-bos	109730	163542	2	1	1	2	4	985	1.98	54.05	14	1	1	1	0	3	1	54.27	2.45	0.5
6	ASBP003	ASB	Asbeek	238036	179497	2	1	1	2	3	1010	0.95	75.391	13	1	1	1	0	3	1	75.931	1.64	0.3
138	TIEP026	TIE	Militair domein Tielen	189050	217720	2	1	1	2	1	1014	1.99	17.92	11	1	1	1	0	3	1	18.45	2.67	0.3
190	WELP018	WEL	Wellemeersen	128284	176954	2	1	1	2	3	1017	2.48	8.86	13	-1	1	1	0	4	2	9.24	3.01	0.3
