"AantalVanPeilMetingWID","Jaar","PeilmetingStatusCode"
68082,2004,"VLD"
2768,1987,"VLD"
30210,2021,"VLD"
448,1970,"VLD"
52758,2002,"VLD"
4225,1985,"VLD"
72999,2005,"VLD"
217943,2019,"VLD"
2417,1988,"VLD"
419,1971,"VLD"
194047,2020,"VLD"
56613,2003,"VLD"
272,1968,"VLD"
266,1969,"VLD"
2932,1986,"VLD"
523,1972,"VLD"
6823,1990,"VLD"
2577,1981,"VLD"
158,1967,"VLD"
45016,2001,"VLD"
125588,2008,"VLD"
1,1965,"VLD"
32973,1999,"VLD"
978,1976,"VLD"
624,1974,"VLD"
213367,2017,"VLD"
14900,1992,"VLD"
4412,1983,"VLD"
82456,2006,"VLD"
188227,2015,"VLD"
29758,1998,"VLD"
99815,2007,"VLD"
4581,1984,"VLD"
589,1973,"VLD"
193403,2016,"VLD"
3861,1982,"VLD"
36649,2000,"VLD"
170663,2014,"VLD"
10328,1991,"VLD"
835,1975,"VLD"
241826,2018,"VLD"
4240,1989,"VLD"
144572,2009,"VLD"
19,1966,"VLD"
166714,2010,"VLD"
12,1961,"VLD"
925,1978,"VLD"
162281,2013,"VLD"
16109,1996,"VLD"
1965,1979,"VLD"
17085,1993,"VLD"
12,1962,"VLD"
17856,1994,"VLD"
955,1977,"VLD"
21158,1997,"VLD"
4112,1980,"VLD"
190260,2011,"VLD"
10,1963,"VLD"
180833,2012,"VLD"
13777,1995,"VLD"
